x,y
-1.387097,-0.009488
-1.387097,0.003795
-1.387097,-0.005693
-1.387097,0.000000
-1.387097,-0.003795
-1.387097,0.001898
-1.387097,0.009488
-1.390892,0.005693
-1.387097,0.011385
-1.385199,-0.003795
-1.385199,-0.011385
-1.385199,-0.001898
-1.387097,0.007590
-1.385199,-0.005693
-1.385199,0.007590
-1.385199,0.009488
-1.385199,0.011385
-1.385199,0.001898
-1.385199,0.000000
-1.387097,-0.001898
-1.385199,0.003795
-1.388994,-0.003795
-1.383302,-0.009488
-1.383302,0.005693
-1.383302,-0.003795
-1.385199,0.005693
-1.387097,0.005693
-1.383302,0.000000
-1.464896,0.000000
-1.383302,0.007590
-1.383302,0.009488
-1.383302,-0.007590
-1.385199,-0.007590
-1.383302,-0.001898
-1.383302,0.001898
-1.381404,-0.011385
-1.381404,-0.009488
-1.381404,0.003795
-1.385199,-0.009488
-1.383302,-0.005693
-1.388994,-0.005693
-1.383302,0.003795
-1.381404,-0.013283
-1.381404,-0.001898
-1.381404,0.007590
-1.381404,-0.005693
-1.381404,0.011385
-1.381404,0.001898
-1.381404,0.013283
-1.381404,-0.007590
-1.379507,-0.011385
-1.379507,0.003795
-1.379507,-0.009488
-1.379507,0.005693
-1.379507,0.000000
-1.383302,0.011385
-1.381404,0.000000
-1.379507,-0.005693
-1.383302,-0.011385
-1.379507,0.001898
-1.379507,0.007590
-1.379507,0.009488
-1.379507,0.011385
-1.377609,-0.009488
-1.377609,0.003795
-1.377609,-0.013283
-1.381404,0.009488
-1.379507,-0.007590
-1.377609,-0.011385
-1.377609,0.001898
-1.377609,-0.003795
-1.377609,0.000000
-1.377609,-0.001898
-1.377609,0.005693
-1.377609,0.007590
-1.377609,0.011385
-1.377609,0.009488
-1.377609,0.013283
-1.375712,-0.011385
-1.375712,0.000000
-1.375712,0.005693
-1.375712,-0.007590
-1.375712,0.003795
-1.379507,-0.001898
-1.377609,-0.005693
-1.375712,-0.003795
-1.375712,-0.001898
-1.375712,-0.005693
-1.375712,0.007590
-1.375712,0.009488
-1.375712,0.011385
-1.373814,-0.007590
-1.373814,-0.009488
-1.375712,0.001898
-1.381404,0.005693
-1.375712,-0.009488
-1.373814,-0.005693
-1.373814,0.009488
-1.373814,-0.003795
-1.381404,-0.003795
-1.373814,0.001898
-1.373814,0.000000
-1.371917,-0.007590
-1.371917,-0.003795
-1.373814,-0.001898
-1.377609,-0.007590
-1.373814,0.003795
-1.371917,-0.001898
-1.373814,0.007590
-1.371917,-0.005693
-1.379507,-0.003795
-1.370019,-0.003795
-1.370019,-0.005693
-1.370019,-0.001898
-1.371917,0.000000
-1.371917,0.005693
-1.371917,0.007590
-1.370019,0.003795
-1.368121,0.000000
-1.366224,-0.013283
-1.366224,-0.001898
-1.366224,-0.003795
-1.366224,0.001898
-1.366224,0.000000
-1.373814,0.005693
-1.366224,-0.011385
-1.371917,0.003795
-1.366224,0.005693
-1.366224,0.003795
-1.366224,0.007590
-1.366224,0.013283
-1.366224,0.009488
-1.370019,0.001898
-1.371917,0.001898
-1.364326,-0.024668
-1.364326,-0.015180
-1.364326,-0.020873
-1.364326,-0.009488
-1.366224,-0.009488
-1.366224,0.011385
-1.366224,-0.007590
-1.364326,-0.017078
-1.364326,-0.003795
-1.364326,-0.001898
-1.364326,-0.018975
-1.364326,-0.011385
-1.364326,0.000000
-1.364326,0.001898
-1.364326,0.005693
-1.364326,-0.007590
-1.364326,0.007590
-1.364326,0.009488
-1.364326,0.013283
-1.364326,0.015180
-1.364326,0.011385
-1.364326,0.017078
-1.364326,-0.005693
-1.364326,-0.013283
-1.364326,0.003795
-1.362429,-0.036053
-1.362429,-0.018975
-1.362429,-0.024668
-1.362429,-0.013283
-1.362429,-0.011385
-1.362429,-0.009488
-1.364326,0.018975
-1.364326,0.020873
-1.362429,-0.022770
-1.362429,-0.005693
-1.362429,-0.020873
-1.362429,-0.003795
-1.362429,-0.001898
-1.362429,0.001898
-1.362429,0.003795
-1.362429,-0.007590
-1.362429,0.005693
-1.364326,0.024668
-1.362429,0.007590
-1.362429,-0.017078
-1.362429,0.011385
-1.362429,0.013283
-1.362429,0.015180
-1.362429,0.017078
-1.362429,0.018975
-1.362429,0.000000
-1.362429,0.024668
-1.362429,0.022770
-1.362429,0.036053
-1.360531,-0.036053
-1.360531,-0.024668
-1.362429,-0.015180
